canonical_smiles	molecule_chembl_id	standard_type	standard_value	type	value
C=CC(=O)Nc1cc2c(Oc3ccc(NC(=O)NCCc4csc(Br)c4)cc3F)ncnc2cc1OC	CHEMBL5589706	IC50	2068.0	IC50	2068.0
C=CC(=O)Nc1cc2c(Oc3ccc(NC(=O)c4sc(-c5ccccc5)nc4C)cc3F)cccc2cc1OC	CHEMBL5591745	IC50	173.4	IC50	173.4
C/C=C/C(=O)Nc1cc2c(Oc3ccc(NC(=O)c4sc(-c5ccccc5)nc4C)cc3F)cccc2cc1OC	CHEMBL5563395	IC50	2321.0	IC50	2321.0
CCC(=O)Nc1cc2c(Oc3ccc(NC(=O)c4sc(-c5ccccc5)nc4C)cc3F)cccc2cc1OC	CHEMBL5573159	IC50	3898.0	IC50	3898.0
C=CC(=O)Nc1cc2c(Oc3ccc(NC(=O)n4c(=O)c(-c5ccccc5)c(C)n4C)cc3F)cccc2cc1OC	CHEMBL5565127	IC50	99.8	IC50	99.8
C/C=C/C(=O)Nc1cc2c(Oc3ccc(NC(=O)n4c(=O)c(-c5ccccc5)c(C)n4C)cc3F)cccc2cc1OC	CHEMBL5574303	IC50	4832.0	IC50	4832.0
CCCC(=O)Nc1cc2c(Oc3ccc(NC(=O)n4c(=O)c(-c5ccccc5)c(C)n4C)cc3F)cccc2cc1OC	CHEMBL5565435	IC50	4213.0	IC50	4213.0
C=CC(=O)Nc1cc2c(Oc3ccc(NC(=O)c4c(-c5c(Cl)cccc5Cl)noc4C)cc3F)cccc2cc1OC	CHEMBL5593611	IC50	6753.0	IC50	6753.0
CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1	CHEMBL1173655	IC50	0.5	IC50	0.5
C=CC(=O)Nc1cc2c(Oc3ccc(NC(=O)CCCc4ccccc4)cc3F)ncnc2cc1OC	CHEMBL5583867	IC50	497.3	IC50	497.3
C/C=C/C(=O)Nc1cc2c(Oc3ccc(NC(=O)CCCc4ccccc4)cc3F)ncnc2cc1OC	CHEMBL5569064	IC50	3544.0	IC50	3544.0
CCC(=O)Nc1cc2c(Oc3ccc(NC(=O)CCCc4ccccc4)cc3F)ncnc2cc1OC	CHEMBL5571542	IC50	2268.0	IC50	2268.0
CCCC(=O)Nc1cc2c(Oc3ccc(NC(=O)CCCc4ccccc4)cc3F)ncnc2cc1OC	CHEMBL5570716	IC50	4648.0	IC50	4648.0
C=CC(=O)Nc1cc2c(Oc3ccc(NC(=O)CCCc4ccc(F)cc4)cc3F)ncnc2cc1OC	CHEMBL5571590	IC50	1072.0	IC50	1072.0
C/C=C/C(=O)Nc1cc2c(Oc3ccc(NC(=O)CCCc4ccc(F)cc4)cc3F)ncnc2cc1OC	CHEMBL5569952	IC50	5725.0	IC50	5725.0
CCC(=O)Nc1cc2c(Oc3ccc(NC(=O)CCCc4ccc(F)cc4)cc3F)ncnc2cc1OC	CHEMBL5574213	IC50	5314.0	IC50	5314.0
C=CC(=O)Nc1cc2c(Oc3ccc(NC(=O)CCCc4ccc(C)cc4)cc3F)ncnc2cc1OC	CHEMBL5570611	IC50	1472.0	IC50	1472.0
C=CC(=O)Nc1cc2c(Oc3ccc(NC(=O)CCCc4ccc(OC)cc4)cc3F)ncnc2cc1OC	CHEMBL5568662	IC50	692.6	IC50	692.6
CCCC(=O)Nc1cc2c(Oc3ccc(NC(=O)CCCc4ccc(OC)cc4)cc3F)ncnc2cc1OC	CHEMBL5571786	IC50	8962.0	IC50	8962.0
