canonical_smiles	molecule_chembl_id	standard_type	standard_value	type	value
C=CC(=O)N1C[C@@H](n2cc(-c3ccncc3)c(-c3cccc(COc4ccc5c(c4)CN(C)C5=O)c3)n2)C[C@H]1C	CHEMBL5556861	IC50	98.0	IC50	0.098
C=CC(=O)N1C[C@@H](n2cc(-c3ccncc3)c(-c3cc(COc4ccc5c(c4)CN(C)C5=O)ccc3F)n2)C[C@H]1C	CHEMBL5560466	IC50	90.0	IC50	0.09
C=CC(=O)N1C[C@@H](n2cc(-c3ccncc3)c(-c3ccc(F)c(COc4ccc5c(c4)CN(C)C5=O)c3)n2)C[C@H]1C	CHEMBL5568516	IC50	81.0	IC50	0.081
C=CC(=O)N1CC[C@H](n2cc(-c3ccncc3)c(-c3cccc(NC(=O)c4ccc5c(c4)CN(C)C5=O)c3)n2)C1	CHEMBL5568120	IC50	2900.0	IC50	2.9
C=CC(=O)N1CC[C@H](n2cc(-c3ccncc3)c(-c3cccc(NC(=O)c4ncc(C5CC5)o4)c3)n2)C1	CHEMBL5560320	IC50	33.0	IC50	0.033
C=CC(=O)N1CC[C@H](n2cc(-c3ccncc3)c(-c3cccc(NC(=O)c4cccc(OC)c4F)c3)n2)C1	CHEMBL5563485	IC50	29.0	IC50	0.029
C=CC(=O)N1CC[C@H](n2cc(-c3ccncc3)c(-c3cccc(NC(=O)c4cn(C5CC5)cn4)c3)n2)C1	CHEMBL5559069	IC50	210.0	IC50	0.21
C=CC(=O)N1CC(n2cc(-c3ccncc3)c(-c3cccc(NC(=O)c4cn(C5CC5)cn4)c3)n2)C1	CHEMBL5560711	IC50	290.0	IC50	0.29
C=CC(=O)N1CC[C@H](n2cc(-c3ccncc3)c(-c3cccc(/C=C/c4ccc5c(c4)CN(C)C5=O)c3)n2)C1	CHEMBL5558098	IC50	220.0	IC50	0.22
C=CC(=O)N1CC[C@H](n2cc(-c3ccncc3)c(-c3cccc(/C=C/c4cc5n(n4)CCOC5)c3)n2)C1	CHEMBL5512543	IC50	260.0	IC50	0.26
C=CC(=O)N1CC[C@H](n2cc(-c3ccncc3)c(-c3cccc(/C=C/c4ncc(C5CC5)o4)c3)n2)C1	CHEMBL5542205	IC50	89.0	IC50	0.089
C=CC(=O)N1CC[C@H](n2cc(-c3ccncn3)c(-c3cccc(/C=C/c4ncc(C5CC5)o4)c3)n2)C1	CHEMBL5537023	IC50	120.0	IC50	0.12
C=CC(=O)N1CC(n2cc(-c3ccncc3)c(-c3cccc(/C=C/c4ncc(C5CC5)o4)c3)n2)C1	CHEMBL5559071	IC50	130.0	IC50	0.13
COc1cc2ncnc(-c3c[nH]nc3-c3cccc(OCc4ccc5c(c4)CN(C)C5=O)c3)c2cc1OC	CHEMBL5566816	IC50	5500.0	IC50	5.5
C=CC(=O)Nc1cc(Nc2ncc(C(=O)OC(C)C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C	CHEMBL4650319	IC50	34.0	IC50	0.034
C=CC(=O)N[C@H]1C=C(C)c2c(-c3cnc4ccccc4c3)c3c(N)ncnc3n2C1	CHEMBL4650281	IC50	21.0	IC50	0.021
C=CC(=O)Nc1cc(Nc2ncc(C(=O)OC(C)C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C	CHEMBL4650319	IC50	30.0	IC50	0.03
C=CC(=O)N[C@H]1C=C(C)c2c(-c3cnc4ccccc4c3)c3c(N)ncnc3n2C1	CHEMBL4650281	IC50	190.0	IC50	0.19
C=CC(=O)N1CC[C@H](n2cc(-c3ccncc3)c(-c3cccc(/C=C/c4ncc(C5CC5)o4)c3)n2)C1	CHEMBL5542205	IC50	1200.0	IC50	1.2
C=CC(=O)Nc1cc(Nc2ncc(C(=O)OC(C)C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C	CHEMBL4650319	IC50	22.0	IC50	0.022
C=CC(=O)N[C@H]1C=C(C)c2c(-c3cnc4ccccc4c3)c3c(N)ncnc3n2C1	CHEMBL4650281	IC50	57.0	IC50	0.057
C=CC(=O)N1CC[C@H](n2cc(-c3ccncc3)c(-c3cccc(OCc4ccc5c(c4)CN(C)C5=O)c3)n2)C1	CHEMBL5517919	IC50	200.0	IC50	0.2
C=CC(=O)N1CC[C@H](n2cc(-c3ccncc3)c(-c3cccc(/C=C/c4ncc(C5CC5)o4)c3)n2)C1	CHEMBL5542205	IC50	85.0	IC50	0.085
C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1	CHEMBL1873475	IC50	52.0	IC50	52.0
C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccn5ncnc5c4)cc3)c3c(N)ncnc32)C1	CHEMBL5523557	IC50	2645.0	IC50	2645.0
C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccn5ncnc5c4)c(C)c3)c3c(N)ncnc32)C1	CHEMBL5561503	IC50	1396.0	IC50	1396.0
C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccc5c(c4)ncn5C)c(C)c3)c3c(N)ncnc32)C1	CHEMBL5566478	IC50	738.0	IC50	738.0
C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccc5cn(C)nc5c4)c(C)c3)c3c(N)ncnc32)C1	CHEMBL5564323	IC50	1220.0	IC50	1220.0
C=CC(=O)N1CC[C@@H](n2nc(-c3ccc(Oc4ccc5c(c4)ncn5C)c(C)c3)c3c(C)ncnc32)C1	CHEMBL5557178	IC50	4645.0	IC50	4645.0
C=CC(=O)N1CC2(n3nc(-c4ccc(Oc5ccc6c(c5)ncn6C)c(C)c4)c4c(C)ncnc43)CC1C2	CHEMBL5561933	IC50	2146.0	IC50	2146.0
C=CC(=O)N1C[C@H]2C[C@@H](n3nc(-c4ccc(Oc5ccc6c(c5)ncn6C)c(C)c4)c4c(C)ncnc43)[C@@H]1C2	CHEMBL5558817	IC50	4167.0	IC50	4167.0
C=CC(=O)N1[C@@H]2CC[C@H]1C[C@@H](n1nc(-c3ccc(Oc4ccc5c(c4)ncn5C)c(Cl)c3)c3c(C)ncnc31)C2	CHEMBL5542514	IC50	4588.0	IC50	4588.0
C=CC(=O)N1[C@@H]2CC[C@H]1C[C@@H](n1nc(-c3cc(F)c(Oc4ccc5c(c4)ncn5C)c(Cl)c3)c3c(C)ncnc31)C2	CHEMBL5555280	IC50	4584.0	IC50	4584.0
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1.Cl	CHEMBL1079742	IC50	2.0	IC50	2.0
