Smiles,pChEMBL_Value
N#CC(C#N)=NNc1ccc(O)cc1,3.6478174818886373
N#CC(C#N)=Cc1ccc2c(c1)OCO2,3.4559319556497243
CN(C)/N=N/c1ccc2ncnc(Nc3cccc(Br)c3)c2c1,7.958607314841775
CCCCc1cc(/C=C(\C#N)C(N)=O)cc(CCCC)c1O,4.259637310505756
COc1cc(/C=C(\C#N)C(N)=C(C#N)C#N)cc(O)c1O,5.920818753952375
N#CC(C#N)=Cc1ccc(/C=C/C(=O)O)cc1,3.346787486224656
Cc1cc(C(=O)N2CCN(C)CC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,8.55284196865778
C#Cc1cccc(Nc2ncnc3c2/C(=C/c2[nH]c(C(=O)NCCN4CCOCC4)cc2C)C(=O)N3)c1,7.7447274948966935
Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CCCC1,5.494850021680094
N#CC(C#N)=Cc1cc[n+]([O-])cc1,2.886056647693163
COc1cc(C=C(C#N)C#N)ccc1O,3.6989700043360187
CCN(CC)CCNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,8.920818753952375
C/N=N/Nc1ccc2ncnc(Nc3cccc(C)c3)c2c1,6.698970004336019
C/N=N/Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,7.4089353929735005
CN(C)/N=N/c1ccc2ncnc(NCc3ccccc3)c2c1,6.31695296176115
N#CC(C#N)=C(N)/C(C#N)=C/c1cc(O)c(O)c(O)c1,6.096910013008056
N#CC(C#N)=Cc1cc2c(cc1[N+](=O)[O-])OCO2,3.2518119729937993
N#C/C(=C\c1ccccc1)C(=O)O,3.070581074285707
N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)c(O)c1,5.6020599913279625
N#CC(C#N)=Cc1ccc[nH]1,3.585026652029182
Cc1c(C(=O)N2CCN(C)CC2)c[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,6.3872161432802645
Cc1cc(C(=O)N2CC(C)NC(C)C2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,8.229147988357855
CN(C)CC/N=N/Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,7.42021640338319
C/N=N/Nc1ccc2ncnc(NCc3ccccc3)c2c1,6.474955192963154
Brc1cccc(Nc2ncnc3ccc(N/N=N/Cc4ccccc4)cc23)c1,7.6020599913279625
N#C/C(=C\c1ccc(O)c(O)c1)C(N)=S,5.619788758288394
CC(C)(C)c1cc(C=C(C#N)C#N)cc(C(C)(C)C)c1O,3.3372421683184257
Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21,8.958607314841775
O=C(O)C(=Cc1ccc(O)cc1)C(=O)O,2.8239087409443187
COc1cc(C=C(C#N)C#N)cc([N+](=O)[O-])c1O,3.795880017344075
Cc1[nH]c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)c(C)c1CCC(=O)O,6.7447274948966935
CCN(CC)CCNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(Cl)cc4F)c32)[nH]1,6.346787486224656
Cc1cccc(Nc2ncnc3ccc(/N=N/N(C)C)cc23)c1,7.619788758288394
N#CC(C#N)=Cc1cccc(O)c1,3.425968732272281
COCC/N=N/Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,7.1487416512809245
